,Model 1,,,,,,
,TX,TY,TZ,RX,RY,RZ,Valid
3.937000,-165.840652,62.008961,2855.749023,22.883991,-10.420216,-8.656498,1
3.950000,-165.838562,62.009830,2855.761475,22.794149,-10.555632,-8.667665,1
3.962000,-165.839386,62.008785,2855.754395,22.759356,-10.447345,-8.664820,1
3.975000,-165.839569,62.008385,2855.775146,22.881937,-10.508074,-8.654366,1
3.987000,-165.840973,62.011013,2855.768799,22.768503,-10.489388,-8.677693,1
4.000000,-165.838684,62.009583,2855.755371,22.871494,-10.454885,-8.654520,1
4.012000,-165.840164,62.011906,2855.753662,22.922159,-10.426655,-8.652474,1
4.025000,-165.834503,62.007595,2855.763916,22.821022,-10.438930,-8.671362,1
4.037000,-165.840775,62.015202,2855.767822,22.849899,-10.400578,-8.665263,1
4.050000,-165.836639,62.011234,2855.764648,22.922590,-10.421022,-8.650192,1
4.062000,-165.840652,62.010376,2855.742676,22.833426,-10.572488,-8.670262,1
4.075000,-165.844193,62.005859,2855.796631,22.837210,-10.445845,-8.652836,1
4.087000,-165.839722,62.009449,2855.743652,22.846855,-10.534221,-8.669245,1
4.100000,-165.837784,62.009743,2855.767578,22.839975,-10.434297,-8.658011,1
4.112000,-165.837799,62.010193,2855.748291,22.778276,-10.504315,-8.677263,1
4.125000,-165.840561,62.010952,2855.733887,22.867208,-10.444101,-8.656448,1
4.137000,-165.839249,62.008148,2855.753906,22.856363,-10.522829,-8.659100,1
4.150000,-165.843735,62.013687,2855.778564,22.889845,-10.417460,-8.654574,1
4.162000,-165.834839,62.011623,2855.756104,22.855061,-10.488597,-8.660250,1
4.175000,-165.842163,62.008408,2855.748779,22.793346,-10.511873,-8.668189,1
